,Department,Course,Credit Hours,Lecture Hours,Lab Hours,Grade Mode,Description
449,Art Studio (ARTS),ARTS 3342. Metals II.,3,3,3,Standard Letter,"This course explores the development of a personal aesthetic and conceptual direction in the metal medium focusing on the relationship between surface and form. Advanced processes are introduced and the exploration of patination and surface coloration continues. Prerequisites: ARTS 2341 with a grade of ""D"" or better."
450,Art Studio (ARTS),ARTS 3343. Metals III.,3,3,3,Standard Letter,"Emphasis on a personal conceptual direction in the solution of formal problems using complex construction and fabrication processes. Prerequisite: ARTS 3342 with a grade of ""D"" or better."
451,Art Studio (ARTS),ARTS 3344. Metals IV.,3,3,3,Standard Letter,"This course is an introduction to the ductile qualities of the metal medium through advanced forming and raising processes. In a series of artworks, students develop a personal aesthetic.  Prerequisite: ARTS 3342 with a grade of ""D"" or better."
452,Art Studio (ARTS),ARTS 3352. Painting II.,3,3,3,Standard Letter,A series of projects synthesizing the elements and principles of pictorial composition that encourage individual creative solutions. Prerequisites: ARTS 2351.
453,Art Studio (ARTS),ARTS 3353. Painting III.,3,3,3,Standard Letter,This course involves the development of personal imagery in painting through individualized projects. Prerequisite: ARTS 2351.
454,Art Studio (ARTS),ARTS 3354. Painting IV.,3,3,3,Standard Letter,"In this course, the conceptual and technical aspects of painting are developed through experimentation, research and evaluation. Prerequisite: ARTS 3352 and ARTS 3353 both with grades of ""D"" or better."
455,Art Studio (ARTS),ARTS 3361. Darkroom.,3,3,3,Standard Letter,"This course introduces black and white aesthetics and techniques within a traditional and digital context. Prerequisite: ART 1301 and ART 1303 and ARTS 1304 all with grades of ""D"" or better."
456,Art Studio (ARTS),ARTS 3364. Introduction to Digital Photography.,3,3,0,Standard Letter,"This course introduces students to the aesthetics of current digital imaging technology, including new digital cameras, scanning equipment, Macintosh computers, image-manipulation programs and printing devices. Prerequisite: ART 1301 and ART 1303 and ARTS 1304 all with grades of ""D"" or better."
457,Art Studio (ARTS),ARTS 3365. Lighting.,3,3,0,Standard Letter,"This course uses diverse environments to explore issues in controlled lighting in photography. Prerequisite: ARTS 3361 and ARTS 3364 both with a grade of ""D"" or better."
458,Art Studio (ARTS),ARTS 3366. Intermediate Digital Photography.,3,3,3,Standard Letter,"This course builds and expands upon the digital and analog concepts and techniques covered in Introduction to Digital Photography, ARTS 3364 and Foundations II, ARTS 3361. Prerequisite: ARTS 3364."
459,Art Studio (ARTS),ARTS 3367. Large Format Photography.,3,3,3,Standard Letter,"This course introduces the basic materials, processes, techniques, and aesthetics of large format photography. Prerequisite: ARTS 3364 and ARTS 3365 both with grades of ""D"" or better."
460,Art Studio (ARTS),ARTS 3372. Introduction to Printmaking: Intaglio and Lithography.,3,3,3,Standard Letter,"This course introduces intaglio (etching, drypoint, color printing) and stone lithographic print techniques. Techniques in traditional/analog and contemporary/digital are covered. It provides an historical, technical, visual, and conceptual foundation for printmaking. Prerequisites: ART 1301 and ART 1303 and [ARTC 1301 or ARTS 1301 or ARTS 1303] and [ARTC 1302 or ARTS 1302 or ARTS 1304 or ARTT 2372] all with grades of ""D"" or better."
461,Art Studio (ARTS),ARTS 3373. Intermediate Printmaking.,3,3,3,Standard Letter,"This course allows the student to pursue any of the introduction to print techniques (screen, relief, intaglio, litho) at an intermediate level. Provides both analog and digital tools, as well as demonstrations for making fine art prints.  Prerequisite: ARTS 2371 or ARTS 3372."
462,Art Studio (ARTS),ARTS 3374. Advanced Printmaking Level One.,3,3,3,Standard Letter,This course allows the student to pursue both technical and conceptual aspects of print at an advanced level. Technical demonstrations rotate on a three-semester basis. Prerequisite: ARTS 3373.
463,Art Studio (ARTS),ARTS 3382. Sculpture II.,3,3,3,Standard Letter,"Development of a personal aesthetic direction with emphasis on the visual, conceptual and technical aspects of sculptural form. Prerequisites: ARTS 2381 with a grade of ""D"" or better."
464,Art Studio (ARTS),ARTS 3383. Sculpture III.,3,3,3,Standard Letter,"Emphasizes personal aesthetic direction through the development of advanced metal casting and fabricating techniques. Prerequisite: ARTS 3382 with a grade of ""D"" or better."
465,Art Studio (ARTS),ARTS 3384. Sculpture IV.,3,3,3,Standard Letter,This course focuses on developing conceptual and technical skills through the creation of large-scale sculpture. Prerequisite: ARTS 3383 or ARTS 4308U.
466,Art Studio (ARTS),ARTS 3392. Watercolor II.,3,3,3,Standard Letter,"Continues the development of creative and technical skills through a series of structured watercolor projects. Prerequisite: ARTS 2391 with a grade of ""D"" or better."
467,Art Studio (ARTS),ARTS 4000. Senior/Thesis Art Exhibition.,0,0,1,Standard Letter,"A senior level course in which all graduating students majoring in Studio Art with a studio specialization, Studio Art leading to All Level Certification, or in Photography, must participate during their last academic year. In consultation with thesis faculty, studio art and photography students will select work to exhibit from their Thesis I and Thesis II courses. Students earning teaching certification will select work to exhibit in consultation with art education faculty advisors."
468,Art Studio (ARTS),ARTS 4100. Special Problems in Studio Art.,1,1,1,Standard Letter,"This course provides the skills to prepare, package, and present written and professional documents and documentation of the creative work. The course also covers additional topics required for pursuing a professional career in the arts, building community, and preparing for post-BFA opportunities."
469,Art Studio (ARTS),ARTS 4200. Professional Practice and Portfolio.,2,2,2,Standard Letter,"This course covers professional topics required for pursuing a career in the arts, building community, and preparing for post-BFA opportunities. It is taken in conjunction with Thesis I-level classes; students develop written and professional documents and documentation of creative work."
470,Art Studio (ARTS),ARTS 4305. Expanded Media V.,3,3,3,Standard Letter,"This advanced studio course integrates contemporary theory and practice. Students utilize reading assignments and viewings to create projects in an interdisciplinary manner. Experimentation and unexpected outcomes are encouraged. Prerequisite: ARTS 3303 or ARTS 3304 either with a grade of ""D"" or better."
471,Art Studio (ARTS),ARTS 4306. Expanded Media VI - Thesis I.,3,3,3,Standard Letter,"This course is the first half of Senior Thesis for students under the Expanded Media Specialization. It requires a written statement of intent, outlining the scope and objectives of the proposed thesis project followed by a related body of artwork. Prerequisite: ARTS 4305 with a grade of ""D"" or better. Corequisite: ARTS 4200 with a grade of ""D"" or better."
472,Art Studio (ARTS),ARTS 4307. Expanded Media VII - Thesis II.,3,3,3,Standard Letter,"This course is the second half of Senior Thesis for students under the Expanded Media Specialization. It requires a written statement of intent, outlining the scope and objectives of the proposed thesis project, followed by a related body of artwork. Prerequisite: ARTS 4306 with a grade of ""D"" or better. Corequisite: ARTS 4000 with a grade of ""D"" or better."
473,Art Studio (ARTS),ARTS 4308D. Natural and Human Environment of Italy.,3,3,0,Standard Letter,"This courses uses Italy as the backdrop to enhance aesthetic understanding of both color (slide transparency) and black and white photography. A strong emphasis is placed on developing visual, conceptual and technical aspects of photography using advanced camera knowledge, chemistry, and sensitivity to local visual stimuli."
474,Art Studio (ARTS),ARTS 4308E. Fine Art Forging.,3,3,0,Standard Letter,An introduction to the theories and processes of forging and blacksmithing for both ferrous and non-ferrous metals.
475,Art Studio (ARTS),ARTS 4308I. Disegno a Firenze: Drawing in Florence.,3,3,0,Standard Letter,"Part of the summer program in Italy, this class focuses on drawing from various subjects in and around the city of Florence. Through daily practice, students will address not only the fundamentals of monochromatic drawing, but also the increased perception that the act of drawing engenders."
476,Art Studio (ARTS),ARTS 4308S. Mapping the City: Interdisciplinary Art in Urban Spaces.,3,4,0,Standard Letter,"This course will explore different methods of mapping (real and conceptual) utilitzed by contemporary artists and engage students in collaborative multidisciplinary projects. Students will build on their own interests and strengths, utilizing photography/video/interview formats/drawing/collage/etc., to build a portfolio of contemprary works. Prerequisite: ARTS 1305 with a grade of ""D"" or better."
477,Art Studio (ARTS),"ARTS 4308V. Visualizing the Culture of Beijing, China.",3,3,0,Standard Letter,"This course exposes students to the significance of data placed in visual context. Students will learn how data visualization can be used as a tool for cross-cultural communication and how first-hand knowledge of a foreign culture enhances design research methodologies based on their studies in Beijing, China."
478,Art Studio (ARTS),ARTS 4308W. The Gaze and Research-based Art Practice.,3,3,3,Standard Letter,"In this interdisciplinary course, students use creative inquiry to explore the complexity of the gaze in Western artistic practices. In this practice focused course, students produce artworks, zines and other creative publications as a way to respond, intervene, and subvert frequently used conventions within figuration."
479,Art Studio (ARTS),ARTS 4308Y. Risograph 101.,3,3,3,Standard Letter,"This is an introductory course into the operation of a Risograph Duplicator. Working with the double-drum MF9450 model students learn how to create multi-color prints and small publications. The course approaches image creation and editing through a number of digital and analogue techniques. Technical understanding of the machine and traditional and experimental approaches to print is covered in this course.  Prerequisite: ART 1301 and ART 1303 and [ARTC 1301 or ARTS 1301 or ARTS 1303] and [ARTC 1302 or ARTS 1302 or ARTS 1304 or ARTT 2372] all with grades of ""D"" or better."
480,Art Studio (ARTS),ARTS 4309A. Chinese Culture and Calligraphy.,3,3,0,Standard Letter,"This course explores Chinese art, culture, and language through calligraphy. By learning the Chinese language through calligraphy, students will identify the influence different written language systems can have on culture."
481,Art Studio (ARTS),ARTS 4312. Studio Art Internship.,3,3,3,Standard Letter,A course designed to offer students the opportunity to experience and receive academic credit for professional related activities in the field of the studio arts. Requires consent of instructor.
482,Art Studio (ARTS),ARTS 4315. Ceramics V.,3,3,3,Standard Letter,"Development of the conceptual and technical aspects of ceramics through experimentation, research and evaluation. Prerequisite: ARTS 3314 with a grade of ""D"" or better."
483,Art Studio (ARTS),ARTS 4316. Ceramics VI – Thesis I.,3,3,3,Standard Letter,The first half of the Senior Thesis for ceramics majors. Requires a written statement of intent outlining the scope and objectives of the proposed thesis project followed by a related body of artwork. Prerequisite: ARTS 4315. Corequisite: ARTS 4200.
484,Art Studio (ARTS),ARTS 4317. Ceramics VII – Thesis II.,3,3,3,Standard Letter,"This course is the second half of the Senior Thesis for ceramics majors. It requires a related body of work documented in a written progress report. Selections from the thesis project will be exhibited in a senior exhibition. Prerequisite: ARTS 4316 with a grade of ""D"" or better.  Corequisite: ARTS 4000 with a grade of ""D"" or better."
485,Art Studio (ARTS),ARTS 4318. Ceramics Special Problems.,3,3,3,Standard Letter,"An advanced level, independent study in ceramics which requires students to pursue a personal conceptual direction and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for additional credit. Prerequisite: ARTS 3313 with a grade of ""D"" or better."
486,Art Studio (ARTS),ARTS 4321. Graphic Novels and 'Zines.,3,3,3,Standard Letter,"This class explores comics, sequential art, and graphic storytelling as contemporary media. Students are introduced to historical and contemporary examples of narrative art, including cinema, comic books and graphic novels. Students explore the theory and practice of sequential art, while creating original comics concerned with historical, personal, and literary subject matter. Prerequisite: ARTS 2321 with a grade of ""D"" or better."
487,Art Studio (ARTS),ARTS 4325. Drawing V.,3,3,3,Standard Letter,"This course requires students to pursue a personal conceptual direction in drawing and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. Prerequisite: ARTS 3322 and ARTS 3323 and ARTS 3324 all with grades of ""D"" or better."
488,Art Studio (ARTS),ARTS 4326. Drawing VI – Thesis I.,3,3,3,Standard Letter,The first half of the Senior Thesis for drawing majors. Requires a written statement of intent outlining the scope and objectives of the proposed thesis project followed by a related body of artwork. Prerequisite: ARTS 4325. Corequisite: ARTS 4200.
489,Art Studio (ARTS),ARTS 4327. Drawing VII – Thesis II.,3,3,3,Standard Letter,"This course is the second half of the Senior Thesis for drawing majors. It requires a related body of work documented in a written progress report. Selections from the thesis project will be exhibited in a senior exhibition. Prerequisite: ARTS 4326 with a grade of ""D"" or better. Corequisite: ARTS 4000 with a grade of ""CR""."
490,Art Studio (ARTS),ARTS 4328. Drawing Special Problems.,3,3,3,Standard Letter,"An advanced level, independent study in drawing which requires students to pursue a personal conceptual direction and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for additional credit. Prerequisite: ARTS 4325."
491,Art Studio (ARTS),ARTS 4341. Digitally Handmade – Digital Fabrication.,3,3,3,Standard Letter,"This class provides the fundamental skills for integrating digital fabrication technologies with other art making processes. Students are introduced to digital design and fabrication using 3D modeling software, 3D printers, and computer controlled machines. A variety of materials are taught through conceptual, technical, and creative problem solving. Prerequisite: ART 1303 and [ARTC 1301 or ARTS 1302 or ARTS 1304 or ARTT 2372] both with grades of ""D"" or better."
492,Art Studio (ARTS),ARTS 4345. Metals V.,3,3,3,Standard Letter,"This course focuses on the conceptual and technical aspects of the metal medium through experimentation, research and evaluation. It requires students to pursue a personal and conceptual direction and to produce a consistent body of artwork. Prerequisite: ARTS 3343 or ARTS 3344 either with a grade of ""D"" or better."
493,Art Studio (ARTS),ARTS 4346. Metals VI – Thesis I.,3,3,3,Standard Letter,"The first half of the Senior Thesis for metals majors. Requires a written statement of intent outlining the scope and objectives of the proposed thesis project followed by a related body of artwork. Prerequisite: ARTS 4345 with a grade of ""D"" or better. Corequisite: ARTS 4200 with a grade of ""D"" or better."
494,Art Studio (ARTS),ARTS 4347. Metals VII – Thesis II.,3,3,3,Standard Letter,"This course is the second half of the Senior Thesis for metals majors. It requires a related body of work documented in a written progress report. Selections from the thesis project will be exhibited in a senior exhibition. Prerequisite: ARTS 4346 with a grade of ""D"" or better. Corequisite: ARTS 4000 with a grade of ""CR"" or better."
495,Art Studio (ARTS),ARTS 4348. Metals Special Problems.,3,3,3,Standard Letter,"This course is an advanced level, independent study in metals which requires students to pursue a personal conceptual direction and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. The course may be repeated with different emphasis for additional credit. Prerequisite: ARTS 3343 with a grade of ""D"" or better."
496,Art Studio (ARTS),ARTS 4355. Painting V.,3,3,3,Standard Letter,Requires students to pursue a personal conceptual direction in painting and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. Prerequisite: ARTS 3354 with a grade of D or better.
497,Art Studio (ARTS),ARTS 4356. Painting VI – Thesis I.,3,3,3,Standard Letter,The first half of the Senior Thesis for painting majors. Requires a written statement of intent outlining the scope and objectives of the proposed thesis project followed by a related body of artwork. Prerequisite: ARTS 4355. Corequisite: ARTS 4200.
498,Art Studio (ARTS),ARTS 4357. Painting VII – Thesis II.,3,3,3,Standard Letter,"This course is the second half of the Senior Thesis for painting majors. It requires a related body of work documented in a written progress report. Selections from the thesis project will be exhibited in a senior exhibition. Prerequisite: ARTS 4356 with a grade of ""D"" or better. Corequisite: ARTS 4000 with a grade of ""CR""."
499,Art Studio (ARTS),ARTS 4358. Painting Special Problems.,3,3,3,Standard Letter,"An advanced level, independent study in painting which requires students to pursue a personal conceptual direction and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for additional credit. Prerequisite: ARTS 3353 with a grade of ""D"" or better."
500,Art Studio (ARTS),ARTS 4360. Readings in Photography.,3,3,0,Standard Letter,"In this intensive writing course, students read, write, and create studio projects in reaction to historical and contemporary written accounts of the history, practice, and interpretation of photography. (WI) Prerequisite: ARTH 3306 and ARTS 3367 both with grades of ""D"" or better."
501,Art Studio (ARTS),ARTS 4361. The Photographic Project.,3,3,3,Standard Letter,"In this course, students define, research, and create two extended photographic projects focused on a single theme. Students explore various methodologies to conceptualize, execute, and evaluate a series of related photographs, based on a broad theme suggested by the instructor, such as identity, politics, place, or social media. In addition, students choose a field of inquiry within that theme to create works to be installed in a professional setting.  Prerequisite: ARTS 3367 and ARTS 4364 both with grades of ""D"" or better."
502,Art Studio (ARTS),ARTS 4364. Advanced Digital Photography.,3,3,0,Standard Letter,"This course explores advanced concepts and techniques in digital photography. Prerequisite: ARTS 3364 and ARTS 3365 both with grades of ""D"" or better."
503,Art Studio (ARTS),ARTS 4366. Photography Thesis I.,3,3,3,Standard Letter,"This is a senior-level course for photography majors, requiring a series of related photographs. It is the first half of the senior thesis. Prerequisite: ARTS 4361 with a grade of ""D"" or better. Corequisite: ARTS 4200 with a grade of ""D"" or better."
504,Art Studio (ARTS),ARTS 4367. Photography Thesis II.,3,3,3,Standard Letter,"This course is the second half of the Senior Thesis for photography majors, requiring a series of original photographs to be documented in a written creative statement. It culminates in a senior thesis exhibition in the gallery. Prerequisite: ARTS 4360 and ARTS 4366 both with grades of ""D"" or better. Corequisite: ARTS 4000 with a grade of ""CR""."
505,Art Studio (ARTS),ARTS 4368. Fine Art Photography Special Problems.,3,3,3,Standard Letter,"An advanced level, independent study in photography which requires students to pursue a personal conceptual direction and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for additional credit. Must be an Art major or minor to enroll. Prerequisites: ARTS 2361; ARTF 1301, ARTF 1302."
506,Art Studio (ARTS),ARTS 4375. Advanced Printmaking Level Two.,3,3,3,Standard Letter,"The class challenges the student to make a suite of prints based on a single theme. While some new techniques may be introduced, the primary focus is on deepening the student's understanding of a particular print media. Prerequisite: ARTS 3374."
507,Art Studio (ARTS),ARTS 4376. Printmaking VI - Thesis I.,3,3,3,Standard Letter,"In this course, students begin to create a conceptually linked body of work. Written statements and other documentation are required, and priority is placed on the development of a personal and professional direction. Prerequisite: ARTS 4375 with a grade of ""D"" or better. Corequisite: ARTS 4200 with a grade of ""D"" or better."
508,Art Studio (ARTS),ARTS 4377. Printmaking VII - Thesis II.,3,3,3,Standard Letter,"In this course, students complete their thesis work, culminating in participation in the Thesis Exhibition. Written statement, thesis and other professional documents are required, as is visual documentation of the thesis work. Emphasis is placed on a conceptually linked body of work and professional presentation. Prerequisite: ARTS 4376 with a grade of ""D"" or better. Corequisite: ARTS 4000 with a grade of ""CR""."
509,Art Studio (ARTS),ARTS 4378. Printmaking Special Problems.,3,3,3,Standard Letter,"An advanced level, independent study in printmaking which requires students to pursue a personal conceptual direction and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for additional credit. Prerequisite: ARTS 3373 with a grade of ""D"" or better."
510,Art Studio (ARTS),ARTS 4381. Soft Sculpture.,3,3,3,Standard Letter,"This course emphasizes aesthetic direction in sculpture through the study of numerous materials that are fiber based with a focus on contemporary practices in papermaking, surface design, and material manipulation. Prerequisite: ARTS 2381 with a grade of ""D"" or better."
511,Art Studio (ARTS),ARTS 4385. Sculpture V.,3,3,3,Standard Letter,"The conceptual and technical aspects of sculpture are developed through experimentation, research and evaluation. Requires students to pursue a personal and conceptual direction and to produce a consistent body of artwork. Prerequisite: ARTS 3384 with a grade of ""D"" or better."
512,Art Studio (ARTS),ARTS 4386. Sculpture VI – Thesis I.,3,3,3,Standard Letter,The first half of the Senior Thesis for sculpture majors. Requires a written statement of intent outlining the scope and objectives of the proposed thesis project followed by a related body of artwork. Prerequisite: ARTS 4385. Corequisite: ARTS 4200.
513,Art Studio (ARTS),ARTS 4387. Sculpture VII – Thesis II.,3,3,3,Standard Letter,"This course is the second half of the Senior Thesis for sculpture majors. It requires a related body of work documented in a written progress report. Selections from the thesis project will be exhibited in a senior exhibition. Prerequisite: ARTS 4386 with a grade of D or better. Corequisite: ARTS 4000 with a grade of ""CR""."
514,Art Studio (ARTS),ARTS 4388. Sculpture Special Problems.,3,3,3,Standard Letter,"An advanced level, independent study in sculpture which requires students to pursue a personal conceptual direction and to develop the appropriate technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for additional credit. Prerequisite: ARTS 3383 with a grade of ""D"" or better."
515,Art Studio (ARTS),ARTS 5301. 2-D Advanced Special Problems.,3,3,3,Standard Letter,"An independent study in 2-D studio art, which requires a student to pursue a personal conceptual direction and to develop the technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for additional credit. Permission of instructor required to enroll."
516,Art Studio (ARTS),ARTS 5302. 3-D Advanced Special Problems.,3,3,3,Standard Letter,"An independent study in studio art, which requires a student to pursue a personal conceptual direction and to develop the technical and critical skills necessary for creating a cohesive body of artwork. May be repeated with different emphasis for
additional credit. Permission of instructor required to enroll."
517,Art Theory and Practice (ARTT),ARTT 2371. Fundamentals of Art Theory and Practice.,3,3,3,Standard Letter,A survey and analysis of the theories and practices of art learning. Topics include: philosophy; history and theory of art learning; technology; artistic development; learning theories; assessment tools; program development; presentations and current realities; trends and issues. (WI).
518,Art Theory and Practice (ARTT),ARTT 2372. Learning and Digital Media.,3,3,3,Standard Letter,"This course examines theories and practices of using electronic media for the creation of art as well as for enhancement of the art learning process. Prerequisite: ART 1301 and ARTT 2371 both with grades of ""C"" or better."
519,Art Theory and Practice (ARTT),ARTT 3370. Art Theory and Practice.,3,3,3,Standard Letter, Introduces the theories and practices of children’s art learning for the non-art major.
520,Art Theory and Practice (ARTT),ARTT 3372. Art Theory and Practice for Children.,3,3,3,Standard Letter,"This course is a survey and analysis of the theories and practices of teaching art to children. Topics include artistic development, art programming, content, philosophies, methodologies, objectives and assessment. It requires ten clock hours of field experience in an elementary art learning setting. (WI) Prerequisites: ART 1303 and ARTT 2372 both with grades of ""C"" or better."
521,Art Theory and Practice (ARTT),ARTT 3373. Art Theory and Practice for Adolescents.,3,3,3,Standard Letter,"This course covers the theories and practices of adolescent art learning. Topics include: learning environments, artistic development, presentation methodologies, objectives and assessment, and other current topics. It requires ten clock hours of field experience in a secondary school art setting. Prerequisite: ARTT 2371 and ARTT 2372 both with grades of ""C"" or better."
522,Art Theory and Practice (ARTT),ARTT 3375. Experimental Water Media.,3,3,0,Standard Letter,"Upper level elective for studio majors. Fills teaching certification watercolor requirement. Students will experiment with water media, including watercolor, egg tempera, gouache, and mixed media on a variety of surfaces, including yupo and gessoed paper. Students will explore mixed media with watercolor. Justification: Future teachers need to develop skills in a wide range of water media, on a wide range of paper including yupo, and in combining watercolor with media, such as prismacolors, markers, water soluble markers and pencils and collage. These things are not covered in the watercolor studio course.  The course would also serve as an elective for studio art majors who want to explore multiple media with watercolor."
523,Art Theory and Practice (ARTT),ARTT 4000. Senior Art Education Exhibition.,0,0,0,Credit/No Credit,A senior level course in which all graduating Art Education Seniors must participate during their last academic year.  Work will be examined and produced leading to a showing in one of the Senior Student Exhibitions.
524,Art Theory and Practice (ARTT),"ARTT 4375. Pedagogy of Art Criticism, History & Aesthetics.",3,3,3,Standard Letter,"This course is a survey and in-depth analysis of the philosophies and structures of art criticism, art history, and aesthetics, as well as contemporary methodologies for analyzing, interpreting and judging works of art. (WI) Prerequisites: ARTT 3373 with a grade of ""C"" or better."
525,Art Theory and Practice (ARTT),ARTT 4376. Special Problems in Art Theory and Practice.,3,3,3,Standard Letter," Individualized study focusing on personal skill and knowledge development related to art learning experiences. Research will include a review of literature, a design for practical experience, and documentation of results and conclusions. May be repeated with different emphasis for additional credit. (WI)."
526,Art Theory and Practice (ARTT),ARTT 4377. Pedagogy for Art Educators.,3,3,0,Standard Letter,"This course is the capstone course for art education majors and offers advanced K-12 pedagogy that supports the development of curriculum and a teaching portfolio.  Students are required to participate in service learning fieldwork for a minimum of 6 hours. Prerequisite: ARTT 4375 with a grade of ""C"" or better."
527,Art Theory and Practice (ARTT),ARTT 4378. Emergent Issues & Advanced Topics in Art Education.,3,3,3,Standard Letter,"This rotating issue(s) course introduces students to emerging ideas and advanced topics in the field of art education. Students address these issues through studio art practices and by developing relevant components for their teaching portfolio.  Prerequisite: ARTT 3372 and ARTT 3373 both with grades of ""C"" or better."
528,Art Theory and Practice (ARTT),ARTT 4379. Art Education in the Community.,3,3,3,Standard Letter,"In this course, students learn about community-based research, art, and methodologies. They participate in collaborations and field experiences/internships with community partners in art/cultural centers, museums, schools (PK-12), businesses, and diverse learning communities and organizations.   Prerequisite: ARTT 3373 with a grade of ""C"" or better. (MULT)."
529,Art Theory and Practice (ARTT),ARTT 4380A. Computer Art.,3,3,0,Standard Letter, An advanced level elective designed to examine and apply various techniques of creating and utilizing computer art for use in teaching art in the public schools.
530,Art Theory and Practice (ARTT),ARTT 4380E. Storying Identity in Art & Culture.,3,3,0,Standard Letter,"This course explores identity as a construct made of individual and cultural components. Coursework is informed by auto-ethnographic traditions that consider artmaking (e.g., stories, poems, visual art) as an indicator of learning and development. Activities include daily journaling, peer critique, and making creative multimedia life-stories."
531,Art Theory and Practice (ARTT),ARTT 4390. Art Education Thesis I.,3,3,3,Standard Letter,"In this course students engage in exploratory and intermediate art education research and art making to outline the scope of their thesis exhibition. Students also develop a preliminary artist statement exploring art and art education objectives that lead to a thesis proposal and related body of work in a future semester. Prerequisite: ARTT 2372 with a grade of ""C"" or better."
532,Art Theory and Practice (ARTT),ARTT 4391. Art Education Thesis II.,3,3,3,Standard Letter,"In this course students engage in advanced-level research in art education and art to focus and refine their thesis project. Students also participate in art education professional development, conceptualize and write an artist statement articulating the context of their artistic inquiry, and produce a cohesive body of work that culminates in their BFA Thesis Exhibition. Prerequisite: [ARTT 4378 or ARTT 4379] and ARTT 4390 all with a grade of ""C"" or better."
533,Art Theory and Practice (ARTT),"ARTT 5371. Research Foundations, Art Education Theories and Practices.",3,3,3,Standard Letter,"In this teacher preparation course, students learn the fundamentals of art education theories and teaching practices. Primary areas of emphasis include: the history of art education, curriculum design, instructional practices focused on equity, diversity, and inclusion, the exploration of art materials and techniques, and art-making."
534,Art Theory and Practice (ARTT),ARTT 5372. Research in Learning and Digital Media.,3,3,3,Standard Letter,"This course examines theories and practices of using computational and electronic tools and materials for the creation of art, as well as for enhancement of the art learning process. Students design and conduct an individualized research project investigating the personal and institutional effects of computation in K-12 art and other schooling practices."
535,Art Theory and Practice (ARTT),ARTT 5376. Research in Art Theory and Practice for Children.,3,3,0,Standard Letter,Individualized study focusing on art skill and knowledge development related to children’s art learning experiences. May be repeated with different emphasis for additional credit. Teaching experience or admission to graduate degree program and permission of instructor required.
536,Art Theory and Practice (ARTT),ARTT 5377. Research in Art Theory and Practice for Adolescents and Adults.,3,3,0,Standard Letter,Individualized study focusing on art skill and knowledge development related to adolescent and/or adult art experiences. May be repeated with different emphasis for additional credit. Teaching experience or admission to graduate degree and permission of instructor required.
537,Athletic Training (AT),AT 1298. Orientation to Athletic Training Education.,2,1,1,Standard Letter,Pre-Athletic Training majors will be introduced to the academic and clinical aspects of the CAATE accredited athletic training education program. The course is utilized as part of the rigorous student evaluation process before formal entrance into the athletic training education program.
538,Athletic Training (AT),AT 2156. Taping and Bandaging Athletic Injuries.,1,1,2,Standard Letter,"This course focuses on the use of taping, bracing, and bandaging techniques in the prevention and care of athletic injuries."
539,Athletic Training (AT),AT 2260. Acute Care of Injuries and Illnesses.,2,2,2,Standard Letter,"This course will address the knowledge and skills related to the immediate evaluation and specialized care of acute injuries and illnesses common in sports settings.  Lectures and laboratory experiences are focused on key aspects of emergency sports health care, including the rapid assessment, resuscitation, packaging and transportation of injured patients.  Must be admitted to the Pre-Athletic Training major to enroll."
540,Athletic Training (AT),AT 2298. Orientation to Athletic Training Profession.,2,2,2,Standard Letter,"The purpose of this course is to provide the student with an introduction to the academic and clinical aspects of the profession of athletic training.  The course includes the history of the profession, basic knowledge and skills, principles, and techniques used by an athletic trainer.  The student will participate in educational observation of clinical experiences with a certified athletic trainer to gain more knowledge of the profession of athletic training. Prerequisite: HIM 2360 with grade of ""C"" or better."
541,Athletic Training (AT),AT 2356. Prevention and Care of Athletic Injuries.,3,3,0,Standard Letter,"This course focuses on the theoretical and practical aspects of the prevention, treatment, and rehabilitation of athletic injuries."
542,Athletic Training (AT),AT 2397. Clinical Experience in Athletic Training I.,3,2,1,Standard Letter,"This course addresses the topics of injury prevention and emergency management, integrated into a clinical education experience designed to assess professional behaviors, knowledge and skills, and clinical proficiency. This course combines didactic with clinical education experiences obtained under the supervision of a licensed preceptor at an on-campus clinical site.  A minimum 2.75 Texas State GPA is required.  Must be admitted to the Athletic Training Cohort."
543,Athletic Training (AT),AT 2398. Clinical Experience in Athletic Training II.,3,2,1,Standard Letter,"This course integrates topics in advanced athletic injury evaluation and management into a clinical education experience designed to assess professional behaviors, cognitive knowledge, psychomotor skills, and proficiency-based case simulations. This course combines didactic and clinical education experiences obtained under the supervision of a licensed preceptor at an on-campus clinical site. Prerequisite: AT 2397 with a grade of ""C"" or better and a minimum 2.75 Texas State GPA. Must be admitted to the Athletic Training Cohort."
